MultiMax v1.0,,,
12/10/2012 11:49,,,
,,,
,,,
[DataSet27],,,
,,,
HomePosition,-1.3,in,
PurgePosition,-0.1,in,
StartPosition,0,in,
MaxHeight,0.2,in,
Target,500,psi,
Rate,10,psi / s,
Transition,80,%,
HoldingLoad,7,Ton,
,,,
Time,Height[in],Pressure[psi],Notes
2769,-0.357,30,
2779,-0.357,30,
2789,-0.357,31,
2799,-0.357,33,
2809,-0.357,39,
2819,-0.357,39,
2829,-0.357,32,
2839,-0.357,41,
2849,-0.357,32,
2859,-0.357,39,
2869,-0.357,30,
2879,-0.357,31,
2889,-0.357,34,
2899,-0.357,34,
2909,-0.357,35,
2919,-0.357,34,
2929,-0.357,37,
2939,-0.357,41,
2949,-0.357,37,
2959,-0.357,36,
2969,-0.357,37,
2979,-0.357,37,
2989,-0.357,35,
2999,-0.357,37,
3009,-0.357,34,
3019,-0.357,38,
3029,-0.357,31,
3039,-0.357,34,
3049,-0.357,38,
3059,-0.357,38,
3069,-0.358,40,
3079,-0.357,43,
3089,-0.357,36,
3099,-0.357,35,
3109,-0.357,40,
3119,-0.357,38,
3129,-0.357,36,
3139,-0.357,37,
3149,-0.357,40,
3159,-0.357,39,
3169,-0.357,38,
3179,-0.357,39,
3189,-0.357,40,
3199,-0.358,42,
3209,-0.357,43,
3219,-0.357,39,
3229,-0.357,38,
3239,-0.357,47,
3249,-0.358,42,
3259,-0.357,39,
3269,-0.357,43,
3279,-0.357,40,
3289,-0.357,45,
3299,-0.357,42,
3309,-0.357,42,
3319,-0.357,46,
3329,-0.357,43,
3339,-0.358,44,
3349,-0.357,37,
3359,-0.357,37,
3369,-0.357,42,
3379,-0.357,41,
3389,-0.358,40,
3399,-0.357,42,
3409,-0.357,43,
3419,-0.357,45,
3429,-0.357,47,
3439,-0.358,45,
3449,-0.358,44,
3459,-0.357,43,
3469,-0.357,45,
3479,-0.357,49,
3489,-0.358,46,
3499,-0.357,46,
3509,-0.358,42,
3519,-0.358,44,
3529,-0.358,42,
3539,-0.358,45,
3549,-0.358,43,
3559,-0.358,48,
3569,-0.357,48,
3579,-0.358,46,
3589,-0.357,47,
3599,-0.358,44,
3609,-0.358,47,
3619,-0.358,50,
3629,-0.358,47,
3639,-0.358,47,
3649,-0.358,47,
3659,-0.358,46,
3669,-0.357,52,
3679,-0.358,47,
3689,-0.358,52,
3699,-0.358,47,
3709,-0.358,51,
3719,-0.358,52,
3729,-0.358,49,
3739,-0.357,49,
3749,-0.358,51,
3759,-0.358,50,
3769,-0.358,48,
3779,-0.357,49,
3789,-0.358,51,
3799,-0.358,54,
3809,-0.358,51,
3819,-0.358,53,
3829,-0.358,51,
3839,-0.358,48,
3849,-0.358,53,
3859,-0.358,49,
3869,-0.358,54,
3879,-0.358,52,
3889,-0.358,50,
3899,-0.358,50,
3909,-0.358,54,
3919,-0.358,53,
3929,-0.358,58,
3939,-0.358,54,
3949,-0.358,55,
3959,-0.358,55,
3969,-0.358,53,
3979,-0.358,55,
3989,-0.358,55,
3999,-0.358,55,
4009,-0.358,50,
4019,-0.358,57,
4029,-0.358,51,
4039,-0.358,55,
4049,-0.358,58,
4059,-0.358,54,
4069,-0.358,55,
4079,-0.358,59,
4089,-0.358,57,
4099,-0.358,59,
4109,-0.358,52,
4119,-0.358,55,
4129,-0.358,56,
4139,-0.358,54,
4149,-0.358,54,
4159,-0.358,57,
4169,-0.358,63,
4179,-0.358,58,
4189,-0.358,55,
4199,-0.358,60,
4209,-0.358,61,
4219,-0.358,58,
4229,-0.358,58,
4239,-0.359,58,
4249,-0.358,57,
4259,-0.358,57,
4269,-0.358,57,
4279,-0.358,57,
4289,-0.358,56,
4299,-0.358,61,
4309,-0.358,58,
4319,-0.358,60,
4329,-0.358,66,
4339,-0.358,57,
4349,-0.358,61,
4359,-0.358,56,
4369,-0.358,61,
4379,-0.358,62,
4389,-0.359,59,
4399,-0.358,61,
4409,-0.358,60,
4419,-0.358,57,
4429,-0.359,61,
4439,-0.359,63,
4449,-0.358,59,
4459,-0.358,56,
4469,-0.358,62,
4479,-0.358,64,
4489,-0.358,57,
4499,-0.358,58,
4509,-0.358,61,
4519,-0.358,58,
4529,-0.358,59,
4539,-0.359,59,
4549,-0.358,64,
4559,-0.358,59,
4569,-0.359,59,
4579,-0.358,65,
4589,-0.358,64,
4599,-0.358,61,
4609,-0.358,60,
4619,-0.358,60,
4629,-0.358,63,
4639,-0.359,64,
4649,-0.358,59,
4659,-0.358,61,
4669,-0.358,66,
4679,-0.359,59,
4689,-0.358,63,
4699,-0.358,64,
4709,-0.359,60,
4719,-0.358,68,
4729,-0.358,62,
4739,-0.358,59,
4749,-0.358,65,
4759,-0.358,65,
4769,-0.358,64,
4779,-0.359,70,
4789,-0.358,63,
4799,-0.359,65,
4809,-0.358,62,
4819,-0.358,65,
4829,-0.358,64,
4839,-0.359,65,
4849,-0.358,65,
4859,-0.358,64,
4869,-0.358,64,
4879,-0.358,66,
4889,-0.358,64,
4899,-0.358,64,
4909,-0.358,64,
